model,map_model_name
CEFIRO 350JM,CEFIRO
KR.SKF2MN VANETTE,VANETTE
SERENA LX,SERENA
CARAVAN VWE25,CARAVAN
CARAVAN VRMGE24,CARAVAN
CARAVAN VRE24,CARAVAN
DAA-HNT32 X TRAIL,X-TRAIL
VANETTE 4WD,VANETTE
SUNNY SB 12,SUNNY
WB12FU-SUNNY,SUNNY
KQ-SKF2TN,VANETTE
DAB-Y12 WINGROAD,WINGROAD
PULSAR SRV,PULSAR
B21W-0621227,DAYZ
DBF-VM20 GX,VANETTE
MBD-DR1TV CLIPPER,CLIPPER
DBA-SC11 TIIDA LATIO,TIIDA
PRESSIA,PRESEA
K11,MARCH
VANETTE VUJC 2,VANETTE
SUNNY 1.5,SUNNY
ABA-DR17W CLIPPER RIO,CLIPPER
GBD-U72T FREEZER,CLIPPER
VW25E26 CARAVAN,CARAVAN
CARAVAN VYGE24,CARAVAN
MARCH AK12,MARCH
CARAVAN  VYGE23,CARAVAN
KQ SKF2TN VANETTE,VANETTE
PULSUR SN15,PULSAR
KB-VUJC22,VANETTE
GBD-U717,CLIPPER
PULSAR-FN14,PULSAR
KR SKF2LN,VANETTE
DBF-VM20 VANNET,VANETTE
N- CRGE24,CARAVAN
ADF-VWME25 CARAVAN,CARAVAN
CARAVAN FOUR DOORS,CARAVAN
SU14 BLUEBIRD,BLUEBIRD
GBD-U71V NV100,NV100
HBD-DR17V NV100,NV100
NV200(DBF-VM20),VANETTE
UA-FB15 SUNNY,SUNNY
E-FNB13,SUNNY
TA-T30-JEEP,X-TRAIL
HBD.DR64V NV100,NV100
KR-DWGE25,CARAVAN
WB12 SUNNY,SUNNY
FRONTIER NAVARA,NAVARA
LE-U7IT CLIPPER,CLIPPER
CARAVAN ARGE24,CARAVAN
X TRAIL LDA-DNT31,X-TRAIL
SUNNY-UA-FB15,SUNNY
U-VRE24,CARAVAN
HU14,BLUEBIRD
CBA-SGE25 CARAVAN,CARAVAN
AD WAGON TB-VY11,AD WAGON
CARAVAN  CYGE24,CARAVAN
LDF-VWME25 CARAVAN,CARAVAN
GF-FN15,PULSAR
SUNNY VIP A,SUNNY
TEANA,TEANA
GF-FB15,SUNNY
SUNNY LE 1.6 A,SUNNY
NAVARA PLATIONUM,NAVARA
VENATTE,VANETTE
CRGE-24,CARAVAN
Q-ARGE24,CARAVAN
EBD-DR16T CLIPPER,CLIPPER
ABA-DR17W-NV100,NV100
B14,SUNNY
SERINA VX,SERENA
KG-CWMGE25,CARAVAN
DBA-B21W,DAYZ
SUNNY 1.6 EXA,SUNNY
HBD-DR64V DX,CLIPPER
CBAFG10BLUEBIRDSYLPH,BLUEBIRD
DBA-T31,X-TRAIL
NAVARA EXPEDITION,NAVARA
K11-1Z MARCH,MARCH
CARAVAN KG-VWMGE24,CARAVAN
DOUBLE CAB KC-LRMD2,DOUBLE CAB
KC-VWGE24,CARAVAN
BAAB14-SUNNY,SUNNY
WHB12-SUNNY,SUNNY
BLUEBIRD 1.5,BLUEBIRD
HBD-DR64 CLIPPER,CLIPPER
DBA-K-13 MARCH,MARCH
E-HK11,MARCH
CBD-U71T CLIPPER,CLIPPER
SU13BLUEB1RD,BLUEBIRD
LDF-CWMGE25,CARAVAN
KUGC22,VANETTE
DBA-TB17 SILPHY,SYLPHY
X-TRAL UA-NT30,X-TRAIL
