post_link,posted_title,posted_date,brand,model,grade,trim_edition,year_of_manufacture,condition,transmission,body_type,fuel_type,engine_capacity,mileage,vehicle_price
https://ikman.lk/en/ad/toyota-roomy-gt-turbo-2016-for-sale-colombo-2,Toyota Roomy GT TURBO 2016,"Posted on 24 Sep 2:35 pm, Dehiwala, Colombo",Toyota,Roomy,0,GT TURBO,2016,Used,Automatic,MPV,Petrol,"1,000 cc","117,000 km","Rs 9,900,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2014-for-sale-colombo-947,Toyota Premio G SUPERIOR 2014,"Posted on 24 Sep 2:35 pm, Dehiwala, Colombo",Toyota,Premio,0,G SUPERIOR ,2014,Used,Automatic,Saloon,Petrol,"1,500 cc","172,000 km","Rs 12,950,000"
https://ikman.lk/en/ad/toyota-axio-x-limited-2014-for-sale-colombo-6,Toyota Axio X Limited 2014,"Posted on 24 Sep 2:33 pm, Dehiwala, Colombo",Toyota,Axio,0,X Limited,2014,Used,Automatic,Saloon,Petrol,"1,500 cc","149,000 km","Rs 9,275,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2013-for-sale-galle-27,Toyota Premio G Superior 2013,"Posted on 24 Sep 2:32 pm, Baddegama, Galle851views",Toyota,Premio,0,G Superior,2013,Used,Automatic,Saloon,Petrol,"1,500 cc","140,000 km","Rs 13,200,000"
https://ikman.lk/en/ad/toyota-rush-fully-loaded-2019-for-sale-colombo,Toyota Rush fully loaded 2019,"Posted on 24 Sep 2:04 pm, Kottawa, Colombo",Toyota,Rush,0,fully loaded ,2019,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","50,000 km","Rs 17,990,000"
https://ikman.lk/en/ad/toyota-vios-g-grade-2007-for-sale-colombo-13,Toyota Vios G GRADE 2007,"Posted on 24 Sep 1:59 pm, Avissawella, Colombo",Toyota,Vios,0,G GRADE,2007,Reconditioned,Automatic,0,Petrol,"1,500 cc","170,000 km","Rs 6,090,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-new-face-2015-for-sale-colombo-5,Toyota Axio G Grade New Face 2015,"Posted on 24 Sep 1:56 pm, Dehiwala, Colombo",Toyota,Axio,0,G Grade New Face,2015,Used,Automatic,Saloon,Petrol,"1,500 cc","136,000 km","Rs 11,650,000"
https://ikman.lk/en/ad/toyota-allion-260-g-grade-a15-2008-for-sale-colombo,Toyota Allion 260 G Grade A15 2008,"Posted on 24 Sep 1:54 pm, Rajagiriya, Colombo",Toyota,Allion,0,260 G Grade A15,2008,Used,Automatic,Saloon,Petrol,"1,500 cc","159,000 km","Rs 8,925,000"
https://ikman.lk/en/ad/toyota-vitz-safety-2016-for-sale-colombo-810,Toyota Vitz Safety 2016,"Posted on 24 Sep 1:44 pm, Rajagiriya, Colombo",Toyota,Vitz,0,Safety,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","86,000 km","Rs 7,790,000"
https://ikman.lk/en/ad/toyota-harrier-2017-for-sale-colombo-173,Toyota Harrier 2017,"Posted on 24 Sep 1:41 pm, Colombo 9, Colombo",Toyota,Harrier,0,Toyota,2017,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","100,000 km","Rs 30,950,000"
https://ikman.lk/en/ad/toyota-rush-2018-for-sale-colombo-101,Toyota Rush 2018,"Posted on 24 Sep 1:34 pm, Colombo 4, Colombo",Toyota,Rush,0,0,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","120,000 km","Rs 16,750,000"
https://ikman.lk/en/ad/toyota-premio-g-2007-for-sale-matara,Toyota Premio G 2007,"Posted on 24 Sep 12:44 pm, Kamburupitiya, Matara476views",Toyota,Premio,0,G,2007,Used,Automatic,Saloon,Petrol,"1,490 cc","127,000 km","Rs 10,800,000"
https://ikman.lk/en/ad/toyota-corolla-121-2002-for-sale-colombo-670,Toyota Corolla 121 2002,"Posted on 24 Sep 12:46 pm, Malabe, Colombo",Toyota,Corolla,0,121,2002,Used,Automatic,Saloon,Petrol,"1,495 cc","177,000 km","Rs 5,925,000"
https://ikman.lk/en/ad/toyota-harrier-g-grad-4x4-2002-for-sale-colombo,Toyota Harrier G GRAD 4X4 2002,"Posted on 24 Sep 11:57 am, Nugegoda, Colombo12761views",Toyota,Harrier,0,HARRIER G GRAD 4X4 ,2002,Used,Automatic,SUV / 4x4,Petrol,"2,995 cc","147,000 km","Rs 5,500,000"
https://ikman.lk/en/ad/toyota-chr-gt-turbo-ngx50-2019-for-sale-colombo,Toyota CHR GT Turbo NGX50 2019,"Posted on 24 Sep 11:36 am, Kohuwala, Colombo",Toyota,CHR,0,GT Turbo NGX50,2019,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","25,000 km","Rs 17,000,000"
https://ikman.lk/en/ad/toyota-vitz-push-start-2012-for-sale-colombo-2,Toyota Vitz Push Start 2012,"Posted on 24 Sep 11:30 am, Dehiwala, Colombo5077views",Toyota,Vitz,0,Push Start,2012,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,000 km","Rs 6,850,000"
