model,map_model_name
DBA-NZT260-PREMIO EX-PKG,PREMIO
HIACE LH117,HIACE
DBA-NZE141 AXIO,AXIO
HILUX HL2,HILUX
HILUX REVO,HILUX
DBA-NZT260 PREMIO F EX-PKG GS,PREMIO
AT150-CORONA,CORONA
COROLLA - TA NZE 121,COROLLA
LDF-KDH206V-HIACE-DX,HIACE
DBA-ZRT260-ALLION,ALLION
COROLLA CE-100,COROLLA
NCP92R YARIS,YARIS
LH119-HIACE,HIACE
DAA-NHP10 AQUA,AQUA
LDF-KDH201V HIACE DX,HIACE
NOAH HYBRID,NOAH
HILUX HL 3,HILUX
E-AE91-COROLLA,COROLLA
AQUA G,AQUA
DAA-NKE165 - AXIO G,AXIO
AQUA X URBAN,AQUA
DBA-ZRT260 PREMIO,PREMIO
VIOS EA,VIOS
