vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
6250000,TOYOTA,ALLION,2002,AUTOMATIC,1500,PETROL
5600000,TOYOTA,CAMRY,2002,AUTOMATIC,2400,PETROL
9200000,TOYOTA,PRIUS,2012,AUTOMATIC,1800,HYBRID
2350000,TOYOTA,TOWNACE,1990,MANUAL,1970,DIESEL
5400000,TOYOTA,HIACE LH113,1992,MANUAL,2770,DIESEL
2290000,TOYOTA,STARLET,1994,MANUAL,1450,DIESEL
7625000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
4350000,TOYOTA,HIACE,1992,MANUAL,900,DIESEL
12800000,TOYOTA,AXIO,2017,AUTOMATIC,1500,PETROL
1050000,TOYOTA,CARINA,1987,MANUAL,1500,PETROL
7350000,TOYOTA,AQUA,2014,AUTOMATIC,1500,HYBRID
8000000,TOYOTA,ALLION,2007,AUTOMATIC,1490,PETROL
5225000,TOYOTA,VITZ,2007,AUTOMATIC,1000,PETROL
9550000,TOYOTA,VITZ,2019,AUTOMATIC,1000,PETROL
6220000,TOYOTA,BELTA,2008,AUTOMATIC,1000,PETROL
9090000,TOYOTA,AXIO,2013,AUTOMATIC,1500,HYBRID
21800000,TOYOTA,HILUX,2016,AUTOMATIC,3000,DIESEL
5975000,TOYOTA,COROLLA,2006,AUTOMATIC,1500,PETROL
6350000,TOYOTA,ALLION,2003,AUTOMATIC,1500,PETROL
1425000,TOYOTA,TOWNACE,1985,MANUAL,1300,PETROL
7500000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
4200000,TOYOTA,TOWNACE,1994,MANUAL,1970,PETROL
2595000,TOYOTA,SPRINTER,1994,AUTOMATIC,1500,PETROL
28000000,TOYOTA,LAND CRUISER PRADO,2011,MANUAL,2700,PETROL
1180000,TOYOTA,HIACE,1981,MANUAL,1800,DIESEL
5100000,TOYOTA,VITZ,2007,AUTOMATIC,1499,PETROL
6800000,TOYOTA,HIACE,1995,MANUAL,1000,DIESEL
7600000,TOYOTA,AXIO,2010,AUTOMATIC,1500,PETROL
5200000,TOYOTA,VITZ,2007,AUTOMATIC,1000,PETROL
7385000,TOYOTA,AQUA,2014,AUTOMATIC,1500,HYBRID
810000,TOYOTA,TOWNACE,1983,MANUAL,1980,DIESEL
5450000,TOYOTA,VITZ,2008,AUTOMATIC,1000,PETROL
2985000,TOYOTA,TOWNACE,1991,MANUAL,1890,PETROL
3750000,TOYOTA,VITZ,2002,AUTOMATIC,1000,PETROL
8075000,TOYOTA,AQUA,2015,AUTOMATIC,1500,PETROL
7375000,TOYOTA,AQUA,2013,AUTOMATIC,1000,PETROL
1350000,TOYOTA,HIACE,1978,MANUAL,1580,DIESEL
8300000,TOYOTA,PASSO,2018,AUTOMATIC,1000,PETROL
7290000,TOYOTA,AXIO,2007,AUTOMATIC,1490,PETROL
5475000,TOYOTA,LITEACE,1999,MANUAL,2200,DIESEL
1500000,TOYOTA,TOWNACE,1985,MANUAL,1890,DIESEL
3885000,TOYOTA,CR27,1994,MANUAL,1800,DIESEL
10875000,TOYOTA,PREMIO,2011,AUTOMATIC,1500,PETROL
5135000,TOYOTA,COROLLA,2001,AUTOMATIC,1500,PETROL
865000,TOYOTA,CARINA,1989,MANUAL,1450,PETROL
3280000,TOYOTA,PREMIO,1996,AUTOMATIC,1800,PETROL
5250000,TOYOTA,VITZ,2008,AUTOMATIC,990,PETROL
4650000,TOYOTA,COROLLA,2005,MANUAL,1300,PETROL
7750000,TOYOTA,AQUA,2014,AUTOMATIC,1500,PETROL
8550000,TOYOTA,AQUA,2015,AUTOMATIC,1500,HYBRID
4950000,TOYOTA,HIACE,1995,MANUAL,2460,PETROL
5150000,TOYOTA,VITZ,2007,AUTOMATIC,1000,PETROL
6250000,TOYOTA,COROLLA,2008,AUTOMATIC,1598,PETROL
8500000,TOYOTA,VITZ,2017,AUTOMATIC,1000,PETROL
7550000,TOYOTA,AXIO,2008,AUTOMATIC,1500,PETROL
5175000,TOYOTA,VITZ,2008,AUTOMATIC,1000,PETROL
2590000,TOYOTA,TOWNACE,1991,MANUAL,1980,DIESEL
6400000,TOYOTA,HIACE,1993,MANUAL,900,DIESEL
2825000,TOYOTA,COROLLA,1995,MANUAL,1300,PETROL
6390000,TOYOTA,ALLION,2003,AUTOMATIC,1500,PETROL
8295000,TOYOTA,PRIUS,2011,AUTOMATIC,1500,PETROL
8250000,TOYOTA,ALLION,2006,AUTOMATIC,1500,PETROL
12600000,TOYOTA,HIACE,2008,AUTOMATIC,3000,DIESEL
11500000,TOYOTA,PREMIO,2011,AUTOMATIC,1500,PETROL
9950000,TOYOTA,HIACE,2000,MANUAL,2000,DIESEL
7850000,TOYOTA,AXIO,2008,AUTOMATIC,1500,PETROL
1800000,TOYOTA,COROLLA,1993,MANUAL,1500,PETROL
3300000,TOYOTA,VITZ,2000,MANUAL,1000,PETROL
6800000,TOYOTA,AQUA,2013,AUTOMATIC,1490,PETROL
6300000,TOYOTA,ALLION,2003,AUTOMATIC,1490,PETROL
